6,4
6,5
7,5
8,5
8,6
9,6
10,2
10,6
10,7
10,48
10,49
11,1
11,2
11,3
11,7
11,48
12,2
12,3
12,7
12,8
12,47
12,48
13,3
13,4
13,8
13,47
14,3
14,4
14,5
14,8
14,46
14,47
15,4
15,5
15,8
15,9
15,46
16,5
16,6
16,9
16,46
17,5
17,6
17,7
17,9
17,10
17,45
17,46
18,6
18,7
18,8
18,10
18,45
19,3
19,4
19,7
19,8
19,10
19,11
19,44
19,45
20,4
20,8
20,9
20,11
20,44
21,4
21,5
21,8
21,9
21,10
21,11
21,12
21,43
21,44
22,5
22,9
22,10
22,11
22,12
22,43
23,5
23,6
23,10
23,11
23,12
23,13
23,42
23,43
24,6
24,11
24,12
24,13
24,42
25,6
25,7
25,11
25,12
25,13
25,14
25,41
25,42
26,7
26,12
26,13
26,14
26,41
27,7
27,8
27,13
27,14
27,40
27,41
28,8
28,13
28,14
28,15
28,40
29,8
29,9
29,14
29,15
29,16
29,40
30,9
30,15
30,16
30,39
30,40
31,9
31,10
31,16
31,17
31,39
32,10
32,16
32,17
32,18
32,38
32,39
33,10
33,11
33,17
33,18
33,38
34,11
34,12
34,17
34,18
34,19
34,37
34,38
35,12
35,18
35,19
35,20
35,37
36,12
36,13
36,18
36,19
36,20
36,21
36,36
36,37
37,13
37,19
37,20
37,21
37,36
38,13
38,14
38,19
38,20
38,21
38,22
38,35
38,36
39,14
39,20
39,21
39,22
39,23
39,35
40,14
40,15
40,20
40,22
40,23
40,24
40,34
40,35
41,15
41,20
41,21
41,23
41,24
41,34
42,15
42,16
42,21
42,24
42,25
42,34
43,16
43,21
43,22
43,24
43,25
43,26
43,33
43,34
44,16
44,17
44,22
44,25
44,26
44,33
45,17
45,22
45,23
45,26
45,27
45,32
45,33
46,17
46,18
46,23
46,26
46,27
46,28
46,32
47,18
47,23
47,24
47,27
47,28
47,29
47,31
47,32
48,18
48,19
48,24
48,28
48,29
48,31
49,19
49,24
49,25
49,29
49,30
49,31
50,19
50,20
50,25
50,29
50,30
50,31
51,20
51,25
51,26
51,29
51,30
51,31
51,32
52,20
52,21
52,26
52,29
52,31
52,32
53,21
53,26
53,27
53,28
53,29
53,32
53,33
54,21
54,22
54,27
54,28
54,32
54,33
54,34
55,22
55,27
55,28
55,33
55,34
56,22
56,23
56,27
56,28
56,34
56,35
57,23
57,27
57,28
57,34
57,35
57,36
58,23
58,24
58,26
58,27
58,28
58,29
58,35
58,36
58,37
59,24
59,26
59,29
59,36
59,37
60,24
60,25
60,26
60,29
60,30
60,37
60,38
61,25
61,26
61,30
61,37
61,38
61,39
62,24
62,25
62,26
62,30
62,31
62,38
62,39
63,24
63,26
63,27
63,31
63,39
63,40
64,23
64,24
64,27
64,31
64,32
64,39
64,40
64,41
65,23
65,27
65,28
65,32
65,40
65,41
65,42
66,22
66,23
66,28
66,32
66,33
66,41
66,42
67,22
67,28
67,29
67,33
67,42
67,43
68,22
68,29
68,33
68,42
68,43
68,44
69,21
69,22
69,29
69,30
69,33
69,34
69,43
69,44
69,45
70,21
70,30
70,34
70,44
70,45
71,20
71,21
71,30
71,31
71,34
71,35
71,45
71,46
72,20
72,31
72,35
72,45
72,46
72,47
73,19
73,20
73,31
73,32
73,35
73,36
73,46
73,47
74,19
74,32
74,36
74,47
74,48
75,18
75,19
75,32
75,33
75,36
75,37
75,47
75,48
75,49
76,18
76,37
76,48
77,17
77,18
77,37
77,38
78,17
78,38
79,16
79,17
79,38
79,39
80,16
80,39
81,16
81,39
82,15
82,16
82,39
82,40
83,15
83,40
84,14
84,15
84,40
84,41
85,14
85,41
86,13
86,14
86,41
86,42
87,13
87,42
88,12
88,13
88,42
88,43
89,12
90,11
90,12
91,11
92,10
92,11
93,10
94,10
95,9
95,10
96,9
97,8
97,9
98,8
99,7
99,8
